address,listing_name,rent,beds,baths,sqft,latitude,longitude,source,listing_url,property_type,room_type,offcampus_slug
"310 Parkway Cir, Davis, CA",Tandem @ 310 Parkway Cir,1857,2,1,800,38.5447,-121.7612,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/tandem,Apartment,unknown,tandem
"400 Parkway Cir, Davis, CA",Tandem @ 400 Parkway Cir,1857,2,1,800,38.54465,-121.761,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/tandem,Apartment,unknown,tandem
"320 Parkway Cir, Davis, CA",Tandem @ 320 Parkway Cir,1857,2,1,800,38.54485,-121.76095,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/tandem,Apartment,unknown,tandem
"310 Parkway Cir, Davis, CA",Living Groups @ 310 Parkway Cir,1857,2,1,800,38.5447,-121.7612,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/living-groups,Apartment,unknown,living-groups
"1100 Olive Dr, Davis, CA",Hallmark Properties @ 1100 Olive Dr,1857,2,1,800,38.5416209,-121.7372429,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/hallmark-properties,Apartment,unknown,hallmark-properties
"2228 Tilia St, Davis, CA",THE GREEN @ 2228 Tilia St,1857,2,1,800,38.5419127,-121.7762152,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/the-green,Apartment,unknown,the-green
"301 Citron St, Davis, CA",THE GREEN @ 301 Citron St,1857,2,1,800,38.54135,-121.77585,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/the-green,Apartment,unknown,the-green
"184 Horizon St, Davis, CA",THE GREEN @ 184 Horizon St,1857,2,1,800,38.54145,-121.77575,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/the-green,Apartment,unknown,the-green
"1512 Drexel Dr, Davis, CA",Aharon Kanevsky @ 1512 Drexel Dr,1857,2,1,800,38.5571675,-121.7323758,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/aharon-kanevsky,Apartment,unknown,aharon-kanevsky
"515 Sycamore Ln, Davis, CA",Identity Davis @ 515 Sycamore Ln,1857,2,1,800,38.5466208,-121.7618965,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/identity-davis,Apartment,unknown,identity-davis
"Orchard Park, Davis, CA",Orchard Park @ Orchard Park,1857,2,1,800,38.5445925,-121.7652752,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/orchard-park,Apartment,unknown,orchard-park
"511 S Main St, Davis, CA",Greens at West village @ 511 S Main St,1857,2,1,800,38.5449,-121.7398,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/greens-at-west-village,Apartment,unknown,greens-at-west-village
"2228 Tilia St, Davis, CA",Greens at West village @ 2228 Tilia St,1857,2,1,800,38.5419127,-121.7762152,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/greens-at-west-village,Apartment,unknown,greens-at-west-village
"298 Celadon St, Davis, CA",Greens at West village @ 298 Celadon St,1857,2,1,800,38.54125,-121.776,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/greens-at-west-village,Apartment,unknown,greens-at-west-village
"298 Horizon St, Davis, CA",Greens at West village @ 298 Horizon St,1857,2,1,800,38.5415,-121.7757,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/greens-at-west-village,Apartment,unknown,greens-at-west-village
"298 Citron St, Davis, CA",Greens at West village @ 298 Citron St,1857,2,1,800,38.5414,-121.7759,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/greens-at-west-village,Apartment,unknown,greens-at-west-village
"301 Citron St, Davis, CA",Greens at West village @ 301 Citron St,1857,2,1,800,38.54135,-121.77585,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/greens-at-west-village,Apartment,unknown,greens-at-west-village
"1545 Jade St, Davis, CA",Sol at West village @ 1545 Jade St,1857,2,1,800,38.5416626,-121.7703056,offcampus_review,https://www.offcampusreview.com/landlord/uc-davis/sol-at-west-village,Apartment,unknown,sol-at-west-village
