address,rent,beds,baths,sqft,latitude,longitude,source,listing_url,property_type,room_type,offcampus_slug
"720 Alvarado Ave, Davis, CA 95616",1850,2,1.0,850,38.55412,-121.73682,sample_davis_ca,https://www.zillow.com/davis-ca/rentals/,Apartment,private,tandem
"425 Russell Blvd, Davis, CA 95616",2400,3,2.0,1150,38.55089,-121.75123,sample_davis_ca,https://www.apartments.com/davis-ca/,Single Family,private,octave-apartments
"801 L St, Davis, CA 95616",1650,1,1.0,625,38.55134,-121.73988,sample_davis_ca,https://www.rent.com/california/davis-apartments,Condo,private,identity-davis
"2500 Da Vinci Ct, Davis, CA 95618",2100,2,2.0,980,38.56201,-121.69452,sample_davis_ca,https://www.trulia.com/for_rent/Davis_CA/,Townhome,private,sol-at-west-village
"1321 Alhambra Dr, Davis, CA 95616",2750,4,2.5,1450,38.55971,-121.72105,sample_davis_ca,https://www.apartments.com/davis-ca/,Single Family,private,tandem
"303 3rd St, Davis, CA 95616",1550,1,1.0,540,38.54501,-121.74012,sample_davis_ca,https://www.zillow.com/davis-ca/rentals/,Apartment,private,identity-davis
"1800 Shasta Dr, Davis, CA 95616",1980,2,1.0,820,38.54765,-121.7619,sample_davis_ca,https://www.rent.com/california/davis-apartments,Duplex,shared,the-green
"616 Cantrill Dr, Davis, CA 95616",3200,4,3.0,1680,38.5562,-121.7278,sample_davis_ca,https://www.apartments.com/davis-ca/,Single Family,private,orchard-park
"500 Pole Line Rd, Davis, CA 95618",1425,1,1.0,590,38.5634,-121.7321,sample_davis_ca,https://www.zillow.com/davis-ca/rentals/,Apartment,private,axis-at-davis
"815 Cranbrook Ct, Davis, CA 95616",2280,3,2.0,1080,38.5533,-121.7189,sample_davis_ca,https://www.trulia.com/for_rent/Davis_CA/,Townhome,private,greens-at-west-village
"1 Shields Ave, Davis, CA 95616",1750,2,1.0,760,38.5398,-121.7502,sample_davis_ca,https://www.apartments.com/davis-ca/,Apartment,shared,identity-davis
"3500 Sycamore Ln, Davis, CA 95616",2650,3,2.5,1320,38.5671,-121.7054,sample_davis_ca,https://www.rent.com/california/davis-apartments,Single Family,private,sol-at-west-village
"408 F St, Davis, CA 95616",1895,2,1.0,780,38.5439,-121.7385,sample_davis_ca,https://www.zillow.com/davis-ca/rentals/,Condo,private,identity-davis
"2000 Moore Blvd, Davis, CA 95618",1595,1,1.0,610,38.5712,-121.7238,sample_davis_ca,https://www.apartments.com/davis-ca/,Apartment,private,ryder-on-olive
"450 J St, Davis, CA 95616",2450,3,2.0,1180,38.5441,-121.7423,sample_davis_ca,https://www.trulia.com/for_rent/Davis_CA/,Single Family,private,identity-davis
"812 Sycamore Ln, Davis, CA 95616",1725,2,1.0,745,38.5658,-121.7086,sample_davis_ca,https://www.rent.com/california/davis-apartments,Duplex,unknown,sol-at-west-village
"1100 Alvarado Ave, Davis, CA 95616",1380,1,1.0,520,38.5525,-121.7342,sample_davis_ca,https://www.zillow.com/davis-ca/rentals/,Apartment,shared,tandem
"3333 Alvarado Ave, Davis, CA 95616",3100,4,3.0,1750,38.558,-121.7295,sample_davis_ca,https://www.apartments.com/davis-ca/,Single Family,private,tandem
"250 Cowell Blvd, Davis, CA 95618",1495,1,1.0,580,38.5695,-121.731,sample_davis_ca,https://www.rent.com/california/davis-apartments,Apartment,private,greens-at-west-village
"600 Drake Dr, Davis, CA 95616",2200,3,2.0,1040,38.5489,-121.7256,sample_davis_ca,https://www.trulia.com/for_rent/Davis_CA/,Townhome,private,colleges-at-la-rue
